Name            MAC Address        IPv4            Bcast           Mask            IPv6                                               Status
--------------------------------------------------------------------------------------------------------------------------------------------
br0             A4:F4:C2:0B:6F:50  192.168.1.1     192.168.1.255   255.255.255.0   fe80::1/64                                         UP   
br1             A4:F4:C2:0B:6F:51  192.168.2.1     192.168.2.255   255.255.255.0   fe80::1/64                                         UP   
br3             A4:F4:C2:0B:6F:50  *               *               *               fe80::1/64                                         UP   
eth0            A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
eth0.1          A4:F4:C2:0B:6F:50  *               *               *               *                                                  DOWN 
eth0.2          A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
eth0.3          A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
eth0.4          A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
ip6tnl0         00-00-00-00-00-00  *               *               *               *                                                  DOWN 
lo              *                  127.0.0.1       *               255.0.0.0       ::1/128                                            UP   
nas0            A4:F4:C2:0B:6F:50  10.84.22.6      10.84.22.255    255.255.255.0   fe80::a6f4:c2ff:fe0b:6f50/64                       UP   
nas1            A4:F4:C2:0B:6F:51  *               *               *               fe80::a6f4:c2ff:fe0b:6f51/64                       UP   
oam             A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
omci            A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
pon             A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP   
ppp1            *                  123.16.5.172    *               255.255.255.255 *                                                  UP   
ra0             A4:F4:C2:0B:6F:50  *               *               *               *                                                  DOWN 
ra1             A6:F4:C2:5B:6F:51  *               *               *               *                                                  DOWN 
ra2             A6:F4:C2:6B:6F:51  *               *               *               *                                                  DOWN 
ra3             A6:F4:C2:7B:6F:51  *               *               *               *                                                  DOWN 
rai0            A4:F4:C2:0B:6F:51  *               *               *               *                                                  UP   
rai1            A6:F4:C2:1B:6F:51  *               *               *               *                                                  UP   
rai2            A6:F4:C2:2B:6F:51  *               *               *               *                                                  UP   
rai3            00:00:00:00:00:00  *               *               *               *                                                  DOWN 
sit0            00-00-00-00-40-E8  *               *               *               *                                                  DOWN 
wdsi0           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN 
wdsi1           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN 
wdsi2           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN 
wdsi3           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN 
