ID    Name            MAC Address        IPv4            Bcast           Mask            IPv6                                               Status   
--------------------------------------------------------------------------------------------------------------------------------------------
1     br0             A4:F4:C2:0B:6F:50  192.168.1.1     192.168.1.255   255.255.255.0   fe80::1/64                                         UP       
2     br1             A4:F4:C2:0B:6F:51  192.168.2.1     192.168.2.255   255.255.255.0   fe80::1/64                                         UP       
3     br3             A4:F4:C2:0B:6F:50  *               *               *               fe80::1/64                                         UP       
4     eth0            A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
5     eth0.1          A4:F4:C2:0B:6F:50  *               *               *               *                                                  DOWN     
6     eth0.2          A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
7     eth0.3          A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
8     eth0.4          A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
9     ip6tnl0         00-00-00-00-00-00  *               *               *               *                                                  DOWN     
10    lo              *                  127.0.0.1       *               255.0.0.0       ::1/128                                            UP       
11    nas0            A4:F4:C2:0B:6F:50  10.84.22.6      10.84.22.255    255.255.255.0   fe80::a6f4:c2ff:fe0b:6f50/64                       UP       
12    nas1            A4:F4:C2:0B:6F:51  *               *               *               fe80::a6f4:c2ff:fe0b:6f51/64                       UP       
13    oam             A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
14    omci            A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
15    pon             A4:F4:C2:0B:6F:50  *               *               *               *                                                  UP       
16    ppp1            *                  123.16.5.172    *               255.255.255.255 *                                                  UP       
17    ra0             A4:F4:C2:0B:6F:50  *               *               *               *                                                  DOWN     
18    ra1             A6:F4:C2:5B:6F:51  *               *               *               *                                                  DOWN     
19    ra2             A6:F4:C2:6B:6F:51  *               *               *               *                                                  DOWN     
20    ra3             A6:F4:C2:7B:6F:51  *               *               *               *                                                  DOWN     
21    rai0            A4:F4:C2:0B:6F:51  *               *               *               *                                                  UP       
22    rai1            A6:F4:C2:1B:6F:51  *               *               *               *                                                  UP       
23    rai2            A6:F4:C2:2B:6F:51  *               *               *               *                                                  UP       
24    rai3            00:00:00:00:00:00  *               *               *               *                                                  DOWN     
25    sit0            00-00-00-00-40-E8  *               *               *               *                                                  DOWN     
26    wdsi0           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN     
27    wdsi1           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN     
28    wdsi2           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN     
29    wdsi3           A4:F4:C2:0B:6F:51  *               *               *               *                                                  DOWN     
